TestNumber,Principal,Operation,Resource,Granted,Milliseconds
3742,Principal 0023,Operation 0010,Resource 9653,N,0.0012
3743,Principal 0101,Operation 0006,Resource 8588,N,0.0028
3744,Principal 0081,Operation 0005,Resource 9995,Y,0.0022
3745,Principal 0058,Operation 0008,Resource 3197,Y,0.0022
3746,Principal 0102,Operation 0007,Resource 3903,N,0.0025
3747,Principal 0119,Operation 0012,Resource 1551,N,0.0009
3748,Principal 0075,Operation 0011,Resource 9062,N,0.0016
3749,Principal 0068,Operation 0012,Resource 3077,N,0.0009
3750,Principal 0122,Operation 0006,Resource 4463,N,0.0025
3751,Principal 0010,Operation 0013,Resource 5308,N,0.0009
3752,Principal 0088,Operation 0001,Resource 5449,Y,0.0022
3753,Principal 0008,Operation 0012,Resource 13430,N,0.0006
3754,Principal 0131,Operation 0012,Resource 11646,N,0.0003
3755,Principal 0115,Operation 0004,Resource 2844,N,0.0032
3756,Principal 0017,Operation 0003,Resource 14466,N,0.0003
3757,Principal 0092,Operation 0002,Resource 13102,N,0.0003
3758,Principal 0095,Operation 0001,Resource 14004,N,0.0003
3759,Principal 0090,Operation 0014,Resource 5964,N,0.0009
3760,Principal 0026,Operation 0010,Resource 12790,N,0.0006
3761,Principal 0066,Operation 0013,Resource 0050,N,0.0012
3762,Principal 0041,Operation 0007,Resource 6956,Y,0.0025
3763,Principal 0047,Operation 0012,Resource 7348,N,0.0012
3764,Principal 0127,Operation 0009,Resource 9250,N,0.0035
3765,Principal 0055,Operation 0013,Resource 14979,N,0.0003
3766,Principal 0049,Operation 0011,Resource 7703,N,0.0012
3767,Principal 0062,Operation 0005,Resource 9436,Y,0.0028
3768,Principal 0036,Operation 0003,Resource 4297,Y,0.0019
3769,Principal 0064,Operation 0006,Resource 12275,N,0.0003
3770,Principal 0063,Operation 0014,Resource 1118,N,0.0009
3771,Principal 0144,Operation 0013,Resource 1952,N,0.0012
3772,Principal 0007,Operation 0007,Resource 14378,N,0.0006
3773,Principal 0116,Operation 0007,Resource 11447,N,0.0006
3774,Principal 0109,Operation 0012,Resource 6183,N,0.0009
3775,Principal 0071,Operation 0011,Resource 6804,N,0.0012
3776,Principal 0039,Operation 0004,Resource 1880,Y,0.0019
3777,Principal 0140,Operation 0004,Resource 3131,N,0.0028
3778,Principal 0132,Operation 0011,Resource 5260,N,0.0012
3779,Principal 0034,Operation 0003,Resource 9945,Y,0.0019
3780,Principal 0107,Operation 0012,Resource 0807,N,0.0012
3781,Principal 0097,Operation 0013,Resource 12169,N,0.0006
3782,Principal 0062,Operation 0013,Resource 11286,N,0.0003
3783,Principal 0073,Operation 0005,Resource 7279,Y,0.0025
3784,Principal 0006,Operation 0008,Resource 3563,Y,0.0016
3785,Principal 0112,Operation 0010,Resource 8293,N,0.0009
3786,Principal 0033,Operation 0011,Resource 6477,N,0.0009
3787,Principal 0125,Operation 0003,Resource 2309,N,0.0035
3788,Principal 0104,Operation 0007,Resource 10674,N,0.0006
3789,Principal 0129,Operation 0002,Resource 1854,N,0.0028
3790,Principal 0117,Operation 0012,Resource 3585,N,0.0016
3791,Principal 0045,Operation 0001,Resource 9640,Y,0.0025
3792,Principal 0106,Operation 0002,Resource 13541,N,0.0006
3793,Principal 0090,Operation 0001,Resource 13240,N,0.0003
3794,Principal 0105,Operation 0011,Resource 14252,N,0.0003
3795,Principal 0096,Operation 0013,Resource 10811,N,0.0003
3796,Principal 0145,Operation 0002,Resource 1019,N,0.0025
3797,Principal 0119,Operation 0001,Resource 6473,N,0.0025
3798,Principal 0035,Operation 0013,Resource 10255,N,0.0006
3799,Principal 0135,Operation 0014,Resource 6104,N,0.0009
3800,Principal 0015,Operation 0008,Resource 12036,N,0.0003
3801,Principal 0094,Operation 0010,Resource 7545,N,0.0012
3802,Principal 0037,Operation 0011,Resource 7463,N,0.0009
3803,Principal 0089,Operation 0001,Resource 9125,Y,0.0025
3804,Principal 0097,Operation 0009,Resource 10604,N,0.0006
3805,Principal 0082,Operation 0002,Resource 5957,Y,0.0028
3806,Principal 0031,Operation 0001,Resource 8857,Y,0.0022
3807,Principal 0148,Operation 0013,Resource 14220,N,0.0006
3808,Principal 0009,Operation 0014,Resource 12185,N,0.0003
3809,Principal 0121,Operation 0001,Resource 2584,N,0.0032
3810,Principal 0143,Operation 0012,Resource 1923,N,0.0009
3811,Principal 0074,Operation 0008,Resource 7645,Y,0.0025
3812,Principal 0012,Operation 0002,Resource 0945,Y,0.0019
3813,Principal 0067,Operation 0006,Resource 2253,Y,0.0022
3814,Principal 0034,Operation 0006,Resource 1390,Y,0.0028
3815,Principal 0069,Operation 0003,Resource 5862,Y,0.0025
3816,Principal 0108,Operation 0010,Resource 11285,N,0.0003
3817,Principal 0043,Operation 0010,Resource 13488,N,0.0003
3818,Principal 0122,Operation 0002,Resource 9825,N,0.0028
3819,Principal 0128,Operation 0009,Resource 10884,N,0.0003
3820,Principal 0103,Operation 0007,Resource 10205,N,0.0003
3821,Principal 0049,Operation 0009,Resource 3472,Y,0.0025
3822,Principal 0072,Operation 0003,Resource 1721,Y,0.0025
3823,Principal 0030,Operation 0007,Resource 0890,Y,0.0016
3824,Principal 0050,Operation 0011,Resource 9889,N,0.0006
3825,Principal 0066,Operation 0011,Resource 7773,N,0.0009
3826,Principal 0128,Operation 0009,Resource 12507,N,0.0006
3827,Principal 0063,Operation 0002,Resource 5732,Y,0.0025
3828,Principal 0063,Operation 0010,Resource 1701,N,0.0009
3829,Principal 0035,Operation 0010,Resource 5888,N,0.0009
3830,Principal 0128,Operation 0004,Resource 7487,N,0.0028
3831,Principal 0051,Operation 0011,Resource 14326,N,0.0006
3832,Principal 0071,Operation 0013,Resource 11107,N,0.0003
3833,Principal 0129,Operation 0014,Resource 14902,N,0.0006
3834,Principal 0042,Operation 0008,Resource 3199,Y,0.0022
3835,Principal 0104,Operation 0014,Resource 14095,N,0.0006
3836,Principal 0036,Operation 0006,Resource 5117,Y,0.0019
3837,Principal 0021,Operation 0014,Resource 14657,N,0.0006
3838,Principal 0133,Operation 0004,Resource 5338,N,0.0022
3839,Principal 0045,Operation 0013,Resource 14450,N,0.0003
3840,Principal 0018,Operation 0004,Resource 7123,Y,0.0019
3841,Principal 0108,Operation 0005,Resource 3647,N,0.0035
3842,Principal 0084,Operation 0014,Resource 14999,N,0.0006
3843,Principal 0105,Operation 0014,Resource 13044,N,0.0003
3844,Principal 0116,Operation 0014,Resource 9249,N,0.0012
3845,Principal 0126,Operation 0003,Resource 8333,N,0.0025
3846,Principal 0026,Operation 0011,Resource 10801,N,0.0006
3847,Principal 0026,Operation 0014,Resource 4547,N,0.0012
3848,Principal 0008,Operation 0011,Resource 3400,N,0.0009
3849,Principal 0078,Operation 0007,Resource 7311,Y,0.0025
3850,Principal 0090,Operation 0003,Resource 14890,N,0.0003
3851,Principal 0116,Operation 0011,Resource 10924,N,0.0006
3852,Principal 0078,Operation 0008,Resource 2773,Y,0.0028
3853,Principal 0145,Operation 0002,Resource 14332,N,0.0006
3854,Principal 0141,Operation 0008,Resource 6087,N,0.0025
3855,Principal 0071,Operation 0006,Resource 0076,Y,0.0025
3856,Principal 0054,Operation 0001,Resource 1855,Y,0.0025
3857,Principal 0120,Operation 0002,Resource 2677,N,0.0028
3858,Principal 0037,Operation 0014,Resource 3933,N,0.0012
3859,Principal 0026,Operation 0010,Resource 9369,N,0.0012
3860,Principal 0003,Operation 0001,Resource 8271,Y,0.0016
3861,Principal 0077,Operation 0002,Resource 11982,N,0.0003
3862,Principal 0131,Operation 0001,Resource 3765,N,0.0028
3863,Principal 0133,Operation 0005,Resource 8873,N,0.0028
3864,Principal 0056,Operation 0003,Resource 8911,Y,0.0028
3865,Principal 0114,Operation 0004,Resource 6798,N,0.0028
3866,Principal 0134,Operation 0009,Resource 5383,N,0.0028
3867,Principal 0034,Operation 0003,Resource 5909,Y,0.0019
3868,Principal 0055,Operation 0012,Resource 0635,N,0.0009
3869,Principal 0122,Operation 0008,Resource 11981,N,0.0006
3870,Principal 0070,Operation 0005,Resource 13247,N,0.0003
3871,Principal 0084,Operation 0014,Resource 1419,N,0.0012
3872,Principal 0061,Operation 0006,Resource 6463,Y,0.0025
3873,Principal 0091,Operation 0009,Resource 5376,Y,0.0028
3874,Principal 0113,Operation 0007,Resource 10949,N,0.0003
3875,Principal 0080,Operation 0007,Resource 13957,N,0.0003
3876,Principal 0088,Operation 0007,Resource 10655,N,0.0003
3877,Principal 0121,Operation 0004,Resource 1363,N,0.0032
3878,Principal 0040,Operation 0012,Resource 13153,N,0.0006
3879,Principal 0024,Operation 0003,Resource 4591,Y,0.0019
3880,Principal 0113,Operation 0001,Resource 7003,N,0.0022
3881,Principal 0068,Operation 0006,Resource 14620,N,0.0003
3882,Principal 0106,Operation 0012,Resource 3678,N,0.0009
3883,Principal 0075,Operation 0006,Resource 12103,N,0.0003
3884,Principal 0004,Operation 0005,Resource 14779,N,0.0003
3885,Principal 0001,Operation 0007,Resource 10337,N,0.0003
3886,Principal 0099,Operation 0012,Resource 5540,N,0.0009
3887,Principal 0017,Operation 0004,Resource 0827,Y,0.0019
3888,Principal 0014,Operation 0010,Resource 1087,N,0.0012
3889,Principal 0119,Operation 0005,Resource 2383,N,0.0028
3890,Principal 0033,Operation 0004,Resource 4175,Y,0.0022
3891,Principal 0019,Operation 0012,Resource 7980,N,0.0012
3892,Principal 0133,Operation 0005,Resource 0751,N,0.0048
3893,Principal 0113,Operation 0012,Resource 9286,N,0.0012
3894,Principal 0103,Operation 0002,Resource 1773,N,0.0032
3895,Principal 0135,Operation 0012,Resource 14761,N,0.0003
3896,Principal 0016,Operation 0004,Resource 4908,Y,0.0019
3897,Principal 0028,Operation 0007,Resource 4756,Y,0.0022
3898,Principal 0140,Operation 0010,Resource 12490,N,0.0006
3899,Principal 0062,Operation 0006,Resource 11477,N,0.0006
3900,Principal 0135,Operation 0013,Resource 7742,N,0.0012
3901,Principal 0013,Operation 0004,Resource 1709,Y,0.0016
3902,Principal 0079,Operation 0013,Resource 6598,N,0.0012
3903,Principal 0068,Operation 0002,Resource 2487,Y,0.0028
3904,Principal 0096,Operation 0013,Resource 0121,N,0.0009
3905,Principal 0112,Operation 0006,Resource 2177,N,0.0028
3906,Principal 0140,Operation 0003,Resource 13056,N,0.0006
3907,Principal 0014,Operation 0010,Resource 0437,N,0.0009
3908,Principal 0124,Operation 0001,Resource 11296,N,0.0003
3909,Principal 0144,Operation 0003,Resource 3088,N,0.0025
3910,Principal 0105,Operation 0007,Resource 14071,N,0.0006
3911,Principal 0043,Operation 0012,Resource 13615,N,0.0003
3912,Principal 0016,Operation 0009,Resource 12044,N,0.0006
3913,Principal 0001,Operation 0006,Resource 13335,N,0.0003
3914,Principal 0082,Operation 0010,Resource 2346,N,0.0009
3915,Principal 0025,Operation 0008,Resource 8771,Y,0.0016
3916,Principal 0047,Operation 0003,Resource 3272,Y,0.0025
3917,Principal 0103,Operation 0007,Resource 2683,N,0.0025
3918,Principal 0134,Operation 0012,Resource 3439,N,0.0006
3919,Principal 0073,Operation 0004,Resource 3779,Y,0.0032
3920,Principal 0054,Operation 0008,Resource 10643,N,0.0003
3921,Principal 0035,Operation 0011,Resource 9436,N,0.0006
3922,Principal 0034,Operation 0005,Resource 0838,Y,0.0022
3923,Principal 0015,Operation 0010,Resource 12413,N,0.0006
3924,Principal 0051,Operation 0014,Resource 12151,N,0.0006
3925,Principal 0147,Operation 0008,Resource 0518,N,0.0028
3926,Principal 0131,Operation 0010,Resource 7220,N,0.0012
3927,Principal 0026,Operation 0010,Resource 0023,N,0.0016
3928,Principal 0148,Operation 0001,Resource 0076,N,0.0025
3929,Principal 0114,Operation 0006,Resource 0586,N,0.0032
3930,Principal 0102,Operation 0009,Resource 5166,N,0.0032
3931,Principal 0083,Operation 0010,Resource 12113,N,0.0006
3932,Principal 0027,Operation 0005,Resource 13474,N,0.0006
3933,Principal 0079,Operation 0014,Resource 2916,N,0.0016
3934,Principal 0079,Operation 0003,Resource 8088,Y,0.0025
3935,Principal 0059,Operation 0005,Resource 8133,Y,0.0028
3936,Principal 0055,Operation 0013,Resource 4047,N,0.0009
3937,Principal 0030,Operation 0009,Resource 8765,Y,0.0022
3938,Principal 0115,Operation 0003,Resource 13726,N,0.0006
3939,Principal 0106,Operation 0004,Resource 11134,N,0.0006
3940,Principal 0093,Operation 0007,Resource 14461,N,0.0006
3941,Principal 0003,Operation 0006,Resource 0472,Y,0.0016
3942,Principal 0072,Operation 0012,Resource 4338,N,0.0009
3943,Principal 0001,Operation 0012,Resource 3508,N,0.0012
3944,Principal 0021,Operation 0005,Resource 11049,N,0.0003
3945,Principal 0043,Operation 0009,Resource 6652,Y,0.0019
3946,Principal 0069,Operation 0009,Resource 9995,Y,0.0022
3947,Principal 0069,Operation 0006,Resource 7153,Y,0.0025
3948,Principal 0115,Operation 0007,Resource 0023,N,0.0028
3949,Principal 0114,Operation 0011,Resource 6764,N,0.0012
3950,Principal 0133,Operation 0007,Resource 0959,N,0.0032
3951,Principal 0024,Operation 0013,Resource 6979,N,0.0009
3952,Principal 0035,Operation 0008,Resource 11802,N,0.0003
3953,Principal 0076,Operation 0013,Resource 8314,N,0.0012
3954,Principal 0038,Operation 0006,Resource 1672,Y,0.0022
3955,Principal 0006,Operation 0001,Resource 4035,Y,0.0019
3956,Principal 0127,Operation 0007,Resource 8295,N,0.0025
3957,Principal 0071,Operation 0004,Resource 9738,Y,0.0025
3958,Principal 0012,Operation 0003,Resource 1169,Y,0.0019
3959,Principal 0073,Operation 0004,Resource 14073,N,0.0003
3960,Principal 0005,Operation 0011,Resource 0160,N,0.0009
3961,Principal 0125,Operation 0002,Resource 4957,N,0.0025
3962,Principal 0026,Operation 0014,Resource 6632,N,0.0009
3963,Principal 0041,Operation 0001,Resource 1912,Y,0.0019
3964,Principal 0098,Operation 0014,Resource 10346,N,0.0003
3965,Principal 0017,Operation 0003,Resource 0365,Y,0.0019
3966,Principal 0055,Operation 0011,Resource 6377,N,0.0012
3967,Principal 0110,Operation 0013,Resource 4452,N,0.0012
3968,Principal 0134,Operation 0006,Resource 3386,N,0.0032
3969,Principal 0062,Operation 0002,Resource 11130,N,0.0006
3970,Principal 0058,Operation 0011,Resource 3967,N,0.0009
3971,Principal 0127,Operation 0007,Resource 2764,N,0.0028
3972,Principal 0082,Operation 0006,Resource 3843,Y,0.0028
3973,Principal 0117,Operation 0013,Resource 1176,N,0.0012
3974,Principal 0124,Operation 0009,Resource 6406,N,0.0025
3975,Principal 0064,Operation 0012,Resource 4367,N,0.0016
3976,Principal 0143,Operation 0014,Resource 14270,N,0.0006
3977,Principal 0008,Operation 0002,Resource 7713,Y,0.0019
3978,Principal 0077,Operation 0005,Resource 12162,N,0.0006
3979,Principal 0107,Operation 0014,Resource 10338,N,0.0003
3980,Principal 0016,Operation 0011,Resource 13501,N,0.0006
3981,Principal 0105,Operation 0013,Resource 4703,N,0.0009
3982,Principal 0129,Operation 0012,Resource 7153,N,0.0006
3983,Principal 0076,Operation 0008,Resource 11927,N,0.0006
3984,Principal 0115,Operation 0009,Resource 13011,N,0.0006
3985,Principal 0052,Operation 0013,Resource 5040,N,0.0006
3986,Principal 0130,Operation 0007,Resource 9088,N,0.0028
3987,Principal 0140,Operation 0007,Resource 1743,N,0.0028
3988,Principal 0118,Operation 0005,Resource 9319,N,0.0025
3989,Principal 0112,Operation 0005,Resource 2704,N,0.0028
3990,Principal 0056,Operation 0012,Resource 7115,N,0.0009
3991,Principal 0085,Operation 0010,Resource 1660,N,0.0009
3992,Principal 0027,Operation 0002,Resource 10385,N,0.0006
3993,Principal 0017,Operation 0008,Resource 0103,Y,0.0019
3994,Principal 0122,Operation 0007,Resource 5934,N,0.0028
3995,Principal 0024,Operation 0004,Resource 8061,Y,0.0022
3996,Principal 0097,Operation 0003,Resource 5878,Y,0.0028
3997,Principal 0071,Operation 0012,Resource 7019,N,0.0012
3998,Principal 0013,Operation 0003,Resource 4502,Y,0.0019
3999,Principal 0117,Operation 0013,Resource 8255,N,0.0009
4000,Principal 0104,Operation 0002,Resource 7091,N,0.0028
4001,Principal 0045,Operation 0002,Resource 11078,N,0.0003
4002,Principal 0048,Operation 0003,Resource 13621,N,0.0003
4003,Principal 0113,Operation 0003,Resource 11682,N,0.0009
4004,Principal 0096,Operation 0011,Resource 13647,N,0.0003
4005,Principal 0090,Operation 0002,Resource 0018,Y,0.0032
4006,Principal 0108,Operation 0009,Resource 0722,N,0.0025
4007,Principal 0013,Operation 0002,Resource 2535,Y,0.0019
4008,Principal 0118,Operation 0013,Resource 14785,N,0.0006
4009,Principal 0001,Operation 0007,Resource 7594,Y,0.0016
4010,Principal 0121,Operation 0006,Resource 3261,N,0.0028
4011,Principal 0022,Operation 0006,Resource 6748,Y,0.0019
4012,Principal 0080,Operation 0008,Resource 4829,Y,0.0032
4013,Principal 0098,Operation 0012,Resource 1267,N,0.0009
4014,Principal 0094,Operation 0013,Resource 14968,N,0.0006
4015,Principal 0092,Operation 0012,Resource 1321,N,0.0009
4016,Principal 0084,Operation 0007,Resource 0745,Y,0.0025
4017,Principal 0045,Operation 0001,Resource 4125,Y,0.0022
4018,Principal 0075,Operation 0009,Resource 0139,Y,0.0025
4019,Principal 0046,Operation 0008,Resource 3503,Y,0.0022
4020,Principal 0113,Operation 0005,Resource 10761,N,0.0003
4021,Principal 0060,Operation 0014,Resource 11613,N,0.0003
4022,Principal 0084,Operation 0008,Resource 5021,Y,0.0028
4023,Principal 0069,Operation 0001,Resource 9042,Y,0.0025
4024,Principal 0102,Operation 0001,Resource 11986,N,0.0006
4025,Principal 0144,Operation 0007,Resource 3202,N,0.0028
4026,Principal 0026,Operation 0003,Resource 1009,Y,0.0019
4027,Principal 0134,Operation 0007,Resource 14992,N,0.0003
4028,Principal 0069,Operation 0008,Resource 4963,Y,0.0022
4029,Principal 0141,Operation 0009,Resource 12194,N,0.0003
4030,Principal 0066,Operation 0004,Resource 0142,Y,0.0022
4031,Principal 0014,Operation 0013,Resource 7815,N,0.0016
4032,Principal 0055,Operation 0004,Resource 14157,N,0.0006
4033,Principal 0034,Operation 0001,Resource 4946,Y,0.0022
4034,Principal 0113,Operation 0002,Resource 6288,N,0.0022
4035,Principal 0067,Operation 0009,Resource 14997,N,0.0003
4036,Principal 0071,Operation 0008,Resource 2309,Y,0.0022
4037,Principal 0119,Operation 0002,Resource 4993,N,0.0028
4038,Principal 0025,Operation 0012,Resource 12989,N,0.0006
4039,Principal 0107,Operation 0014,Resource 6520,N,0.0012
4040,Principal 0067,Operation 0009,Resource 12925,N,0.0006
4041,Principal 0078,Operation 0001,Resource 12520,N,0.0006
4042,Principal 0089,Operation 0009,Resource 2391,Y,0.0028
4043,Principal 0042,Operation 0009,Resource 3405,Y,0.0019
4044,Principal 0041,Operation 0014,Resource 1856,N,0.0012
4045,Principal 0110,Operation 0003,Resource 5255,N,0.0032
4046,Principal 0087,Operation 0001,Resource 13376,N,0.0003
4047,Principal 0050,Operation 0007,Resource 1520,Y,0.0022
4048,Principal 0099,Operation 0010,Resource 1466,N,0.0009
4049,Principal 0101,Operation 0013,Resource 0735,N,0.0012
4050,Principal 0098,Operation 0010,Resource 4234,N,0.0012
4051,Principal 0076,Operation 0011,Resource 6488,N,0.0012
4052,Principal 0070,Operation 0004,Resource 1181,Y,0.0025
4053,Principal 0088,Operation 0012,Resource 0435,N,0.0009
4054,Principal 0126,Operation 0003,Resource 14129,N,0.0006
4055,Principal 0139,Operation 0008,Resource 2777,N,0.0028
4056,Principal 0032,Operation 0007,Resource 10663,N,0.0003
4057,Principal 0077,Operation 0002,Resource 14031,N,0.0003
4058,Principal 0081,Operation 0002,Resource 2290,Y,0.0028
4059,Principal 0114,Operation 0013,Resource 5617,N,0.0012
4060,Principal 0110,Operation 0013,Resource 10030,N,0.0006
4061,Principal 0017,Operation 0009,Resource 14212,N,0.0006
4062,Principal 0141,Operation 0011,Resource 2508,N,0.0009
4063,Principal 0103,Operation 0004,Resource 13693,N,0.0009
4064,Principal 0041,Operation 0014,Resource 2346,N,0.0009
4065,Principal 0129,Operation 0007,Resource 4028,N,0.0025
4066,Principal 0024,Operation 0011,Resource 1781,N,0.0012
4067,Principal 0136,Operation 0007,Resource 7400,N,0.0025
4068,Principal 0051,Operation 0002,Resource 7671,Y,0.0025
4069,Principal 0052,Operation 0014,Resource 10020,N,0.0006
4070,Principal 0042,Operation 0010,Resource 5532,N,0.0012
4071,Principal 0105,Operation 0012,Resource 14048,N,0.0006
4072,Principal 0054,Operation 0011,Resource 8623,N,0.0012
4073,Principal 0149,Operation 0014,Resource 11486,N,0.0003
4074,Principal 0003,Operation 0008,Resource 2390,Y,0.0016
4075,Principal 0119,Operation 0004,Resource 2129,N,0.0025
4076,Principal 0117,Operation 0010,Resource 9325,N,0.0009
4077,Principal 0132,Operation 0009,Resource 1959,N,0.0035
4078,Principal 0039,Operation 0012,Resource 6742,N,0.0009
4079,Principal 0027,Operation 0011,Resource 7255,N,0.0012
4080,Principal 0065,Operation 0009,Resource 11911,N,0.0006
4081,Principal 0075,Operation 0006,Resource 8426,Y,0.0025
4082,Principal 0082,Operation 0008,Resource 2224,Y,0.0028
4083,Principal 0033,Operation 0008,Resource 11408,N,0.0003
4084,Principal 0104,Operation 0003,Resource 11250,N,0.0003
4085,Principal 0053,Operation 0013,Resource 14240,N,0.0006
4086,Principal 0050,Operation 0008,Resource 13429,N,0.0006
4087,Principal 0056,Operation 0008,Resource 4294,Y,0.0022
4088,Principal 0007,Operation 0006,Resource 1599,Y,0.0016
4089,Principal 0036,Operation 0007,Resource 0349,Y,0.0019
4090,Principal 0073,Operation 0003,Resource 14365,N,0.0006
4091,Principal 0014,Operation 0008,Resource 5763,Y,0.0025
4092,Principal 0145,Operation 0008,Resource 1602,N,0.0028
4093,Principal 0090,Operation 0004,Resource 10151,N,0.0006
4094,Principal 0149,Operation 0008,Resource 2665,N,0.0028
4095,Principal 0129,Operation 0003,Resource 6543,N,0.0032
4096,Principal 0057,Operation 0013,Resource 13946,N,0.0003
4097,Principal 0075,Operation 0012,Resource 3484,N,0.0009
4098,Principal 0088,Operation 0001,Resource 0454,Y,0.0025
4099,Principal 0076,Operation 0007,Resource 0233,Y,0.0022
4100,Principal 0068,Operation 0005,Resource 1782,Y,0.0028
4101,Principal 0019,Operation 0011,Resource 4762,N,0.0009
4102,Principal 0120,Operation 0009,Resource 9098,N,0.0025
4103,Principal 0055,Operation 0006,Resource 5636,Y,0.0019
4104,Principal 0126,Operation 0011,Resource 4293,N,0.0009
4105,Principal 0033,Operation 0006,Resource 0127,Y,0.0022
4106,Principal 0017,Operation 0003,Resource 3081,Y,0.0019
4107,Principal 0100,Operation 0013,Resource 8186,N,0.0009
4108,Principal 0014,Operation 0014,Resource 5156,N,0.0009
4109,Principal 0109,Operation 0008,Resource 7376,N,0.0035
4110,Principal 0053,Operation 0007,Resource 0991,Y,0.0022
4111,Principal 0014,Operation 0002,Resource 14220,N,0.0006
4112,Principal 0084,Operation 0013,Resource 12398,N,0.0006
4113,Principal 0129,Operation 0001,Resource 8818,N,0.0028
4114,Principal 0124,Operation 0001,Resource 7823,N,0.0028
4115,Principal 0083,Operation 0010,Resource 1573,N,0.0012
4116,Principal 0141,Operation 0006,Resource 10361,N,0.0003
4117,Principal 0004,Operation 0006,Resource 4015,Y,0.0019
4118,Principal 0121,Operation 0011,Resource 6724,N,0.0012
4119,Principal 0086,Operation 0001,Resource 11184,N,0.0006
4120,Principal 0146,Operation 0002,Resource 1496,N,0.0025
4121,Principal 0018,Operation 0001,Resource 13762,N,0.0003
4122,Principal 0047,Operation 0011,Resource 8911,N,0.0006
4123,Principal 0051,Operation 0010,Resource 7608,N,0.0016
4124,Principal 0028,Operation 0004,Resource 1904,Y,0.0025
4125,Principal 0093,Operation 0012,Resource 12642,N,0.0003
4126,Principal 0004,Operation 0008,Resource 4944,Y,0.0016
4127,Principal 0036,Operation 0011,Resource 1994,N,0.0012
4128,Principal 0120,Operation 0005,Resource 0968,N,0.0032
4129,Principal 0119,Operation 0004,Resource 5363,N,0.0028
4130,Principal 0075,Operation 0014,Resource 12556,N,0.0003
4131,Principal 0013,Operation 0013,Resource 14712,N,0.0006
4132,Principal 0073,Operation 0011,Resource 0045,N,0.0012
4133,Principal 0091,Operation 0004,Resource 13591,N,0.0006
4134,Principal 0077,Operation 0009,Resource 10640,N,0.0003
4135,Principal 0028,Operation 0012,Resource 2262,N,0.0012
4136,Principal 0021,Operation 0003,Resource 14162,N,0.0006
4137,Principal 0091,Operation 0008,Resource 7381,Y,0.0035
4138,Principal 0062,Operation 0011,Resource 4470,N,0.0012
4139,Principal 0145,Operation 0005,Resource 10194,N,0.0003
4140,Principal 0128,Operation 0008,Resource 7052,N,0.0028
4141,Principal 0036,Operation 0012,Resource 10133,N,0.0006
4142,Principal 0100,Operation 0002,Resource 5431,N,0.0025
4143,Principal 0022,Operation 0002,Resource 1887,Y,0.0022
4144,Principal 0126,Operation 0006,Resource 4429,N,0.0028
4145,Principal 0064,Operation 0011,Resource 2575,N,0.0012
4146,Principal 0064,Operation 0009,Resource 7385,Y,0.0022
4147,Principal 0137,Operation 0010,Resource 1328,N,0.0012
4148,Principal 0062,Operation 0013,Resource 6542,N,0.0012
4149,Principal 0052,Operation 0010,Resource 2273,N,0.0009
4150,Principal 0102,Operation 0008,Resource 6016,N,0.0028
4151,Principal 0049,Operation 0011,Resource 10993,N,0.0006
4152,Principal 0065,Operation 0004,Resource 11541,N,0.0006
4153,Principal 0006,Operation 0008,Resource 11084,N,0.0006
4154,Principal 0118,Operation 0014,Resource 0951,N,0.0012
4155,Principal 0122,Operation 0011,Resource 1931,N,0.0009
4156,Principal 0030,Operation 0014,Resource 0103,N,0.0006
4157,Principal 0019,Operation 0008,Resource 10446,N,0.0003
4158,Principal 0028,Operation 0014,Resource 12806,N,0.0003
4159,Principal 0057,Operation 0012,Resource 14160,N,0.0003
4160,Principal 0036,Operation 0005,Resource 6540,Y,0.0032
4161,Principal 0032,Operation 0007,Resource 9119,Y,0.0019
4162,Principal 0108,Operation 0008,Resource 10036,N,0.0003
4163,Principal 0084,Operation 0014,Resource 6808,N,0.0012
4164,Principal 0060,Operation 0006,Resource 1561,Y,0.0025
4165,Principal 0113,Operation 0002,Resource 9946,N,0.0035
4166,Principal 0004,Operation 0009,Resource 1933,Y,0.0019
4167,Principal 0046,Operation 0003,Resource 10087,N,0.0006
4168,Principal 0022,Operation 0008,Resource 14670,N,0.0006
4169,Principal 0105,Operation 0002,Resource 12177,N,0.0006
4170,Principal 0131,Operation 0001,Resource 6766,N,0.0028
4171,Principal 0123,Operation 0012,Resource 2826,N,0.0012
4172,Principal 0046,Operation 0009,Resource 7969,Y,0.0022
4173,Principal 0068,Operation 0002,Resource 3736,Y,0.0028
4174,Principal 0069,Operation 0009,Resource 0074,Y,0.0022
4175,Principal 0083,Operation 0011,Resource 2305,N,0.0012
4176,Principal 0089,Operation 0007,Resource 12214,N,0.0003
4177,Principal 0029,Operation 0005,Resource 3424,Y,0.0025
4178,Principal 0122,Operation 0014,Resource 2653,N,0.0009
4179,Principal 0114,Operation 0001,Resource 13602,N,0.0006
4180,Principal 0094,Operation 0001,Resource 5706,Y,0.0032
4181,Principal 0128,Operation 0010,Resource 13999,N,0.0003
4182,Principal 0001,Operation 0009,Resource 8929,Y,0.0016
4183,Principal 0137,Operation 0007,Resource 8201,N,0.0025
4184,Principal 0020,Operation 0008,Resource 7519,Y,0.0022
4185,Principal 0132,Operation 0012,Resource 7707,N,0.0012
4186,Principal 0100,Operation 0009,Resource 12485,N,0.0006
4187,Principal 0123,Operation 0002,Resource 10532,N,0.0003
